t                         x y
1.0997999999999999        423 3.305546856299447e-13
1.1024                    424 3.228579190887471e-13
1.105                     425 3.153872808086654e-13
1.1076                    426 3.0813473149466086e-13
1.1101999999999999        427 3.010925674683764e-13
1.1128                    428 2.942534045367681e-13
1.1154                    429 2.8761016279536186e-13
1.1179999999999999        430 2.8115605224688233e-13
1.1206                    431 2.7488455911110035e-13
1.1232                    432 2.6878943303583814e-13
1.1258                    433 2.62864674747527e-13
1.1283999999999998        434 2.571045245402843e-13
1.131                     435 2.5150345128331126e-13
1.1336                    436 2.4605614201997624e-13
1.1361999999999999        437 2.407574920539334e-13
1.1388                    438 2.356025955952499e-13
1.1414                    439 2.305867368798289e-13
1.144                     440 2.2570538169834665e-13
1.1465999999999998        441 2.2095416938103777e-13
1.1492                    442 2.163289051821508e-13
1.1518                    443 2.1182555302700151e-13
1.1543999999999999        444 2.0744022859617198e-13
1.157                     445 2.0316919283316657e-13
1.1596                    446 1.9900884567471236e-13
1.1622                    447 1.949557200936285e-13
1.1648                    448 1.9100647653565664e-13
1.1674                    449 1.8715789743906085e-13
1.17                      450 1.834068822161273e-13
1.1725999999999999        451 1.797504423102678e-13
1.1752                    452 1.7618569655320813e-13
1.1778                    453 1.727098667962266e-13
1.1804                    454 1.6932027359704164e-13
1.183                     455 1.6601433226279483e-13
1.1856                    456 1.627895489572516e-13
1.1882                    457 1.5964351709232185e-13
1.1907999999999999        458 1.5657391376008498e-13
1.1934                    459 1.535784964385382e-13
1.196                     460 1.506550997781141e-13
1.1985999999999999        461 1.4780163257598367e-13
1.2012                    462 1.450160748509231e-13
1.2038                    463 1.4229647503471457e-13
1.2064                    464 1.3964094735061877e-13
1.2089999999999999        465 1.3704766926054164e-13
1.2116                    466 1.3451487902333964e-13
1.2142                    467 1.320408733591124e-13
1.2167999999999999        468 1.2962400524117153e-13
1.2194                    469 1.2726268176601698e-13
1.222                     470 1.2495536210488338e-13
1.2246                    471 1.2270055552192103e-13
1.2271999999999998        472 1.204968195732165e-13
1.2298                    473 1.1834275824939483e-13
1.2324                    474 1.1623702028610766e-13
1.2349999999999999        475 1.1417829751759713e-13
1.2376                    476 1.1216532331394588e-13
1.2402                    477 1.1019687103206226e-13
1.2428                    478 1.0827175258772415e-13
1.2453999999999998        479 1.0638881708949729e-13
1.248                     480 1.0454694944582196e-13
1.2506                    481 1.0274506915833118e-13
1.2531999999999999        482 1.0098212901337791e-13
1.2558                    483 9.925711398168798e-14
1.2584                    484 9.75690400250018e-14
1.261                     485 9.591695303462098e-14
1.2635999999999998        486 9.429992781372635e-14
1.2662                    487 9.27170669996561e-14
1.2688                    488 9.116750017816824e-14
1.2713999999999999        489 8.965038292086515e-14
1.274                     490 8.816489590204365e-14
1.2766                    491 8.671024402827458e-14
1.2792                    492 8.528565564646708e-14
1.2818                    493 8.389038171602004e-14
1.2844                    494 8.252369508240423e-14
1.287                     495 8.118488971003237e-14
1.2895999999999999        496 7.987328000969593e-14
1.2922                    497 7.858820015332249e-14
1.2948                    498 7.732900339177023e-14
1.2973999999999999        499 7.609506145423122e-14
1.3                       500 7.488576396269766e-14
1.3026                    501 7.370051780007415e-14
1.3052                    502 7.253874656479577e-14
1.3077999999999999        503 7.139989006780205e-14
1.3104                    504 7.02834037551819e-14
1.313                     505 6.918875824330929e-14
1.3155999999999999        506 6.811543884156496e-14
1.3182                    507 6.706294503240132e-14
1.3208                    508 6.603079008057136e-14
1.3234                    509 6.501850056945239e-14
1.3259999999999998        510 6.402561601171097e-14
1.3286                    511 6.305168838546862e-14
1.3312                    512 6.209628180734584e-14
1.3337999999999999        513 6.115897213349974e-14
1.3364                    514 6.02393465842674e-14
1.339                     515 5.933700342249275e-14
1.3416                    516 5.845155157923293e-14
1.3441999999999998        517 5.758261036299966e-14
1.3468                    518 5.6729809131439213e-14
1.3494                    519 5.589278697841505e-14
1.3519999999999999        520 5.507119244842236e-14
1.3546                    521 5.426468325900021e-14
1.3572                    522 5.3472926013170546e-14
1.3598                    523 5.2695595940831806e-14
1.3623999999999998        524 5.193237664787925e-14
1.365                     525 5.118295986891163e-14
1.3676                    526 5.044704521274136e-14
1.3701999999999999        527 4.9724339941682526e-14
1.3728                    528 4.90145587570676e-14
1.3754                    529 4.83174235676516e-14
1.378                     530 4.7632663304178304e-14
1.3805999999999998        531 4.6960013657491583e-14
1.3832                    532 4.62992169747057e-14
1.3858                    533 4.5650021990127364e-14
1.3883999999999999        534 4.501218368803597e-14
1.391                     535 4.438546309164994e-14
1.3936                    536 4.376962713119956e-14
1.3961999999999999        537 4.316444844320561e-14
1.3988                    538 4.256970522145951e-14
